Kirjauspäivä;Selite;Summa;Viitenumero
09.03.2023;Hoitovastike 100023;180,00;100023
02.02.2023;Hoitovastike 100023;180,00;100023
20.12.2023;Hoitovastike 100036;210,00;100036
10.09.2023;Hoitovastike 100023;180,00;100023
05.02.2023;Hoitovastike 100052;175,00;100052
28.08.2023;Isannointitoimisto Paakirja Oy;-850,00;
21.06.2023;Verohallinto Kiinteistovero;-2106,37;
12.05.2023;Hoitovastike 100036;210,00;100036
26.07.2023;HSY VESI JA VIEMARI;-256,30;
19.10.2023;Hoitovastike 100049;150,00;100049
01.06.2023;Kone Hissihuolto;-399,99;
30.08.2023;Hoitovastike 100052;175,00;100052
04.11.2023;Hoitovastike 100023;180,00;100023
26.03.2023;Hoitovastike 100010;250,00;100010
24.07.2023;Hoitovastike 100049;150,00;100049
31.07.2023;K-Rauta rautakauppa;-166,38;
05.02.2023;Hoitovastike 100036;210,00;100036
27.08.2023;Hoitovastike 100036;210,00;100036
23.02.2023;S-Rauta Maalia ja tarvikkeita;-70,39;
25.04.2023;Hoitovastike 100010;250,00;100010
11.05.2023;Hoitovastike 100010;250,00;100010
21.05.2023;LASSILA & TIKANOJA SIIVOUS OY;-230,93;
06.09.2023;Hoitovastike 100010;250,00;100010
02.12.2023;Hoitovastike 100049;150,00;100049
30.12.2023;Hoitovastike 100036;210,00;100036
14.08.2023;Hoitovastike 100049;150,00;100049
04.09.2023;Hoitovastike 100023;180,00;100023
31.01.2023;DNA Oyj Laajakaista;-120,00;
14.09.2023;Hoitovastike 100036;210,00;100036
23.06.2023;LASSILA & TIKANOJA SIIVOUS OY;-244,87;
27.03.2023;Kone Hissihuolto;-339,69;
11.10.2023;Hoitovastike 100049;150,00;100049
19.03.2023;Isannointitoimisto Paakirja Oy;-850,00;
20.06.2023;Hoitovastike 100052;175,00;100052
21.02.2023;Hoitovastike 100010;250,00;100010
03.08.2023;Hoitovastike 100052;175,00;100052
10.12.2023;Hoitovastike 100010;250,00;100010
26.08.2023;Hoitovastike 100010;250,00;100010
16.05.2023;Hoitovastike 100049;150,00;100049
02.03.2023;HSY VESI JA VIEMARI;-181,22;
30.11.2023;Pankin Palvelumaksu;-12,50;
16.02.2023;Hoitovastike 100010;250,00;100010
05.04.2023;Hoitovastike 100023;180,00;100023
13.03.2023;Hoitovastike 100049;150,00;100049
02.03.2023;Hoitovastike 100010;250,00;100010
19.01.2023;Hoitovastike 100023;180,00;100023
06.10.2023;Hoitovastike 100052;175,00;100052
26.01.2023;Hoitovastike 100023;180,00;100023
14.02.2023;Hoitovastike 100023;180,00;100023
05.11.2023;HSY VESI JA VIEMARI;-271,51;
23.10.2023;S-Rauta Maalia ja tarvikkeita;-30,47;
28.10.2023;K-Rauta rautakauppa;-172,78;
23.07.2023;Hoitovastike 100049;150,00;100049
28.03.2023;Pankin Palvelumaksu;-12,50;
24.12.2023;DNA Oyj Laajakaista;-120,00;
03.03.2023;Hoitovastike 100023;180,00;100023
13.07.2023;Verohallinto Kiinteistovero;-1978,51;
25.09.2023;Verohallinto Kiinteistovero;-1809,76;
26.02.2023;FORTUM OYJ SAHKOLASKU;-450,60;
20.01.2023;Hoitovastike 100010;250,00;100010
24.12.2023;Hoitovastike 100049;150,00;100049
15.08.2023;Hoitovastike 100023;180,00;100023
23.04.2023;Hoitovastike 100049;150,00;100049
03.07.2023;Hoitovastike 100036;210,00;100036
11.12.2023;Hoitovastike 100049;150,00;100049
20.10.2023;S-Rauta Maalia ja tarvikkeita;-66,61;
08.07.2023;Hoitovastike 100023;180,00;100023
03.10.2023;Helen Oy Sahko;-145,95;
11.09.2023;Kone Hissihuolto;-327,35;
14.10.2023;Hoitovastike 100052;175,00;100052
12.08.2023;Hoitovastike 100036;210,00;100036
18.12.2023;Isannointitoimisto Paakirja Oy;-850,00;
13.09.2023;Hoitovastike 100010;250,00;100010
24.01.2023;Hoitovastike 100049;150,00;100049
20.10.2023;Hoitovastike 100036;210,00;100036
29.01.2023;LASSILA & TIKANOJA SIIVOUS OY;-268,27;
10.09.2023;Helen Oy Sahko;-106,58;
02.03.2023;Hoitovastike 100049;150,00;100049
07.09.2023;LASSILA & TIKANOJA SIIVOUS OY;-330,55;
13.07.2023;K-Rauta rautakauppa;-180,45;
28.11.2023;Hoitovastike 100052;175,00;100052
29.08.2023;Pankin Palvelumaksu;-12,50;
03.10.2023;Hoitovastike 100049;150,00;100049
01.03.2023;HSY VESI JA VIEMARI;-133,02;
15.07.2023;Verohallinto Kiinteistovero;-1888,21;
01.05.2023;Hoitovastike 100023;180,00;100023
25.09.2023;S-Rauta Maalia ja tarvikkeita;-77,81;
21.05.2023;Pääkirja Taloushallinto;-390,94;
29.08.2023;Hoitovastike 100023;180,00;100023
20.08.2023;DNA Oyj Laajakaista;-120,00;
20.09.2023;Hoitovastike 100010;250,00;100010
31.08.2023;Hoitovastike 100049;150,00;100049
12.05.2023;Hoitovastike 100023;180,00;100023
14.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-314,03;
25.01.2023;DNA Oyj Laajakaista;-120,00;
24.01.2023;Hoitovastike 100052;175,00;100052
28.01.2023;Kone Hissihuolto;-350,52;
23.05.2023;Hoitovastike 100049;150,00;100049
13.05.2023;Pääkirja Taloushallinto;-400,17;
13.02.2023;K-Rauta rautakauppa;-49,90;
09.05.2023;Isannointitoimisto Paakirja Oy;-850,00;
25.12.2023;Verohallinto Kiinteistovero;-1583,57;
23.11.2023;S-Rauta Maalia ja tarvikkeita;-45,05;
14.04.2023;Hoitovastike 100010;250,00;100010
24.12.2023;Hoitovastike 100049;150,00;100049
09.09.2023;Hoitovastike 100023;180,00;100023
06.02.2023;DNA Oyj Laajakaista;-120,00;
10.07.2023;Helen Oy Sahko;-256,25;
31.12.2023;Hoitovastike 100052;175,00;100052
01.12.2023;K-Rauta rautakauppa;-160,08;
03.10.2023;Hoitovastike 100052;175,00;100052
29.03.2023;Hoitovastike 100049;150,00;100049
19.12.2023;Hoitovastike 100052;175,00;100052
01.07.2023;HSY VESI JA VIEMARI;-283,78;
01.03.2023;K-Rauta rautakauppa;-116,39;
08.07.2023;Hoitovastike 100052;175,00;100052
10.09.2023;Hoitovastike 100010;250,00;100010
12.01.2023;Kone Hissihuolto;-330,45;
27.04.2023;Hoitovastike 100023;180,00;100023
19.08.2023;LASSILA & TIKANOJA SIIVOUS OY;-208,95;
27.12.2023;Hoitovastike 100023;180,00;100023
28.09.2023;Hoitovastike 100036;210,00;100036
08.02.2023;Hoitovastike 100010;250,00;100010
14.08.2023;Hoitovastike 100023;180,00;100023
29.01.2023;Hoitovastike 100052;175,00;100052
04.10.2023;Kone Hissihuolto;-251,12;
04.11.2023;Hoitovastike 100036;210,00;100036
24.08.2023;Hoitovastike 100052;175,00;100052
28.10.2023;Hoitovastike 100049;150,00;100049
03.09.2023;Hoitovastike 100049;150,00;100049
08.08.2023;Hoitovastike 100036;210,00;100036
12.05.2023;Hoitovastike 100010;250,00;100010
28.01.2023;Hoitovastike 100049;150,00;100049
29.04.2023;Hoitovastike 100036;210,00;100036
01.10.2023;K-Rauta rautakauppa;-29,27;
25.05.2023;Hoitovastike 100036;210,00;100036
13.08.2023;Hoitovastike 100049;150,00;100049
18.08.2023;Hoitovastike 100023;180,00;100023
23.06.2023;DNA Oyj Laajakaista;-120,00;
04.09.2023;Pääkirja Taloushallinto;-349,72;
01.04.2023;Hoitovastike 100036;210,00;100036
23.02.2023;Hoitovastike 100052;175,00;100052
04.05.2023;Hoitovastike 100049;150,00;100049
06.04.2023;Hoitovastike 100023;180,00;100023
03.03.2023;Kone Hissihuolto;-267,65;
05.03.2023;Hoitovastike 100010;250,00;100010
12.07.2023;Hoitovastike 100023;180,00;100023
13.07.2023;K-Rauta rautakauppa;-178,18;
19.11.2023;DNA Oyj Laajakaista;-120,00;
13.03.2023;Verohallinto Kiinteistovero;-2040,82;
08.07.2023;Verohallinto Kiinteistovero;-1480,05;
15.03.2023;Hoitovastike 100052;175,00;100052
27.05.2023;Hoitovastike 100052;175,00;100052
04.09.2023;Hoitovastike 100049;150,00;100049
02.02.2023;Hoitovastike 100023;180,00;100023
12.09.2023;Hoitovastike 100023;180,00;100023
17.12.2023;Hoitovastike 100052;175,00;100052
08.12.2023;Hoitovastike 100010;250,00;100010
08.05.2023;Hoitovastike 100023;180,00;100023
06.10.2023;S-Rauta Maalia ja tarvikkeita;-67,17;
01.03.2023;K-Rauta rautakauppa;-35,99;
27.02.2023;Hoitovastike 100010;250,00;100010
30.05.2023;Hoitovastike 100052;175,00;100052
19.09.2023;Hoitovastike 100036;210,00;100036
06.02.2023;Pääkirja Taloushallinto;-423,75;
10.05.2023;Hoitovastike 100010;250,00;100010
26.01.2023;FORTUM OYJ SAHKOLASKU;-189,87;
11.08.2023;Pankin Palvelumaksu;-12,50;
15.08.2023;S-Rauta Maalia ja tarvikkeita;-76,25;
10.03.2023;Hoitovastike 100036;210,00;100036
26.10.2023;Helen Oy Sahko;-181,35;
18.07.2023;K-Rauta rautakauppa;-101,52;
18.01.2023;HSY VESI JA VIEMARI;-250,50;
29.08.2023;LASSILA & TIKANOJA SIIVOUS OY;-302,31;
16.06.2023;Hoitovastike 100049;150,00;100049
16.10.2023;Hoitovastike 100049;150,00;100049
12.01.2023;Hoitovastike 100036;210,00;100036
31.08.2023;Hoitovastike 100023;180,00;100023
22.05.2023;Hoitovastike 100052;175,00;100052
22.06.2023;Hoitovastike 100049;150,00;100049
07.03.2023;Pankin Palvelumaksu;-12,50;
06.07.2023;Hoitovastike 100049;150,00;100049
19.10.2023;Hoitovastike 100036;210,00;100036
17.10.2023;Hoitovastike 100049;150,00;100049
28.12.2023;K-Rauta rautakauppa;-166,98;
11.09.2023;Hoitovastike 100023;180,00;100023
23.11.2023;Pankin Palvelumaksu;-12,50;
01.05.2023;Hoitovastike 100052;175,00;100052
27.04.2023;Hoitovastike 100036;210,00;100036
16.06.2023;Hoitovastike 100036;210,00;100036
26.03.2023;Hoitovastike 100036;210,00;100036
02.08.2023;Pääkirja Taloushallinto;-335,72;
30.06.2023;Hoitovastike 100049;150,00;100049
15.11.2023;HSY VESI JA VIEMARI;-189,92;
28.05.2023;Hoitovastike 100023;180,00;100023
27.04.2023;Hoitovastike 100052;175,00;100052
13.12.2023;Hoitovastike 100049;150,00;100049
11.05.2023;Hoitovastike 100010;250,00;100010
08.01.2023;Hoitovastike 100052;175,00;100052
13.08.2023;K-Rauta rautakauppa;-25,72;
09.11.2023;Hoitovastike 100049;150,00;100049
26.12.2023;FORTUM OYJ SAHKOLASKU;-167,71;
12.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-306,21;
04.01.2023;Hoitovastike 100052;175,00;100052
03.05.2023;Hoitovastike 100036;210,00;100036
23.01.2023;FORTUM OYJ SAHKOLASKU;-374,84;
12.11.2023;Hoitovastike 100052;175,00;100052
27.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-230,79;
12.05.2023;Hoitovastike 100023;180,00;100023
23.05.2023;Hoitovastike 100049;150,00;100049
28.02.2023;Hoitovastike 100010;250,00;100010
04.08.2023;Hoitovastike 100023;180,00;100023
12.10.2023;Hoitovastike 100010;250,00;100010
04.04.2023;Hoitovastike 100010;250,00;100010
07.03.2023;FORTUM OYJ SAHKOLASKU;-615,64;
21.06.2023;Hoitovastike 100010;250,00;100010
18.12.2023;Hoitovastike 100052;175,00;100052
01.07.2023;Hoitovastike 100036;210,00;100036
23.05.2023;Helen Oy Sahko;-247,09;
24.12.2023;HSY VESI JA VIEMARI;-212,97;
05.08.2023;Hoitovastike 100023;180,00;100023
08.02.2023;Hoitovastike 100052;175,00;100052
01.11.2023;Hoitovastike 100036;210,00;100036
30.04.2023;Hoitovastike 100052;175,00;100052
28.06.2023;Hoitovastike 100010;250,00;100010
17.12.2023;Hoitovastike 100023;180,00;100023
08.02.2023;Hoitovastike 100049;150,00;100049
15.01.2023;DNA Oyj Laajakaista;-120,00;
01.08.2023;Hoitovastike 100010;250,00;100010
27.09.2023;Pääkirja Taloushallinto;-496,68;
13.03.2023;Hoitovastike 100023;180,00;100023
17.02.2023;Hoitovastike 100052;175,00;100052
15.05.2023;Helen Oy Sahko;-437,72;
04.02.2023;Verohallinto Kiinteistovero;-1871,71;
16.07.2023;Hoitovastike 100049;150,00;100049
27.08.2023;Hoitovastike 100023;180,00;100023
24.08.2023;Hoitovastike 100036;210,00;100036
13.11.2023;LASSILA & TIKANOJA SIIVOUS OY;-371,50;
13.10.2023;Kone Hissihuolto;-338,03;
31.12.2023;Hoitovastike 100023;180,00;100023
02.10.2023;S-Rauta Maalia ja tarvikkeita;-98,26;
09.01.2023;Hoitovastike 100052;175,00;100052
31.05.2023;Hoitovastike 100023;180,00;100023
18.11.2023;Pankin Palvelumaksu;-12,50;
27.02.2023;HSY VESI JA VIEMARI;-164,05;
21.03.2023;Hoitovastike 100052;175,00;100052
23.02.2023;Pääkirja Taloushallinto;-408,71;
21.12.2023;Hoitovastike 100036;210,00;100036
27.08.2023;Hoitovastike 100010;250,00;100010
28.11.2023;K-Rauta rautakauppa;-136,29;
23.08.2023;K-Rauta rautakauppa;-168,64;
30.01.2023;Hoitovastike 100023;180,00;100023
12.11.2023;Hoitovastike 100052;175,00;100052
07.04.2023;Kone Hissihuolto;-268,44;
01.04.2023;Hoitovastike 100036;210,00;100036
30.10.2023;Hoitovastike 100049;150,00;100049
12.12.2023;Pääkirja Taloushallinto;-346,55;
03.07.2023;Kone Hissihuolto;-288,31;
19.03.2023;Hoitovastike 100049;150,00;100049
21.06.2023;Helen Oy Sahko;-311,94;
09.07.2023;Verohallinto Kiinteistovero;-1318,58;
26.08.2023;Helen Oy Sahko;-340,53;
07.04.2023;Hoitovastike 100052;175,00;100052
03.05.2023;Hoitovastike 100049;150,00;100049
06.01.2023;Hoitovastike 100036;210,00;100036
19.05.2023;Hoitovastike 100049;150,00;100049
06.09.2023;K-Rauta rautakauppa;-100,78;
05.06.2023;Hoitovastike 100036;210,00;100036
28.05.2023;Hoitovastike 100023;180,00;100023
08.08.2023;Hoitovastike 100052;175,00;100052
09.04.2023;Pankin Palvelumaksu;-12,50;
10.06.2023;Pääkirja Taloushallinto;-312,43;
26.07.2023;DNA Oyj Laajakaista;-120,00;
13.11.2023;S-Rauta Maalia ja tarvikkeita;-81,67;
14.10.2023;Hoitovastike 100049;150,00;100049
09.02.2023;Hoitovastike 100010;250,00;100010
22.08.2023;Hoitovastike 100052;175,00;100052
01.03.2023;Hoitovastike 100036;210,00;100036
25.01.2023;Hoitovastike 100010;250,00;100010
15.01.2023;Hoitovastike 100036;210,00;100036
27.07.2023;Hoitovastike 100036;210,00;100036
21.04.2023;Hoitovastike 100023;180,00;100023
15.09.2023;Hoitovastike 100010;250,00;100010
13.06.2023;Hoitovastike 100023;180,00;100023
18.05.2023;DNA Oyj Laajakaista;-120,00;
25.01.2023;Hoitovastike 100010;250,00;100010
24.07.2023;Pääkirja Taloushallinto;-474,20;
04.05.2023;Hoitovastike 100049;150,00;100049
21.04.2023;Hoitovastike 100010;250,00;100010
12.08.2023;Hoitovastike 100023;180,00;100023
17.07.2023;Hoitovastike 100036;210,00;100036
30.11.2023;Hoitovastike 100049;150,00;100049
20.04.2023;Hoitovastike 100023;180,00;100023
29.09.2023;Helen Oy Sahko;-174,02;
07.11.2023;Hoitovastike 100049;150,00;100049
07.06.2023;Isannointitoimisto Paakirja Oy;-850,00;
23.04.2023;S-Rauta Maalia ja tarvikkeita;-20,81;
30.01.2023;Hoitovastike 100052;175,00;100052
30.04.2023;Hoitovastike 100023;180,00;100023
23.01.2023;Hoitovastike 100052;175,00;100052
12.02.2023;Hoitovastike 100023;180,00;100023
01.12.2023;Pankin Palvelumaksu;-12,50;
01.08.2023;LASSILA & TIKANOJA SIIVOUS OY;-360,61;
28.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-310,12;
10.11.2023;Verohallinto Kiinteistovero;-1745,23;
27.05.2023;LASSILA & TIKANOJA SIIVOUS OY;-387,31;
04.01.2023;Hoitovastike 100023;180,00;100023
26.04.2023;Hoitovastike 100010;250,00;100010
22.03.2023;S-Rauta Maalia ja tarvikkeita;-43,82;
06.11.2023;Hoitovastike 100049;150,00;100049
22.04.2023;Kone Hissihuolto;-364,86;
10.09.2023;Hoitovastike 100052;175,00;100052
26.01.2023;LASSILA & TIKANOJA SIIVOUS OY;-263,52;
07.12.2023;K-Rauta rautakauppa;-41,11;
22.01.2023;Hoitovastike 100052;175,00;100052
04.12.2023;Hoitovastike 100049;150,00;100049
24.08.2023;Hoitovastike 100049;150,00;100049
13.04.2023;Hoitovastike 100010;250,00;100010
01.09.2023;K-Rauta rautakauppa;-96,99;
21.11.2023;Hoitovastike 100010;250,00;100010
21.08.2023;Hoitovastike 100023;180,00;100023
11.04.2023;Hoitovastike 100036;210,00;100036
26.06.2023;Hoitovastike 100036;210,00;100036
12.07.2023;Hoitovastike 100023;180,00;100023
18.08.2023;Hoitovastike 100052;175,00;100052
03.11.2023;Hoitovastike 100010;250,00;100010
03.06.2023;Hoitovastike 100052;175,00;100052
14.09.2023;Hoitovastike 100049;150,00;100049
01.08.2023;Hoitovastike 100010;250,00;100010
30.03.2023;Hoitovastike 100010;250,00;100010
21.12.2023;Hoitovastike 100010;250,00;100010
24.07.2023;Hoitovastike 100049;150,00;100049
19.06.2023;Hoitovastike 100010;250,00;100010
29.09.2023;K-Rauta rautakauppa;-144,40;
07.02.2023;K-Rauta rautakauppa;-53,36;
13.01.2023;Hoitovastike 100010;250,00;100010
01.02.2023;Kone Hissihuolto;-240,39;
03.10.2023;Hoitovastike 100049;150,00;100049
19.11.2023;Hoitovastike 100010;250,00;100010
10.08.2023;Hoitovastike 100023;180,00;100023
09.06.2023;DNA Oyj Laajakaista;-120,00;
15.07.2023;FORTUM OYJ SAHKOLASKU;-651,64;
30.12.2023;Hoitovastike 100049;150,00;100049
13.11.2023;Isannointitoimisto Paakirja Oy;-850,00;
12.12.2023;Hoitovastike 100049;150,00;100049
02.12.2023;Hoitovastike 100052;175,00;100052
10.04.2023;Hoitovastike 100010;250,00;100010
15.11.2023;Isannointitoimisto Paakirja Oy;-850,00;
12.02.2023;Hoitovastike 100049;150,00;100049
27.08.2023;Pankin Palvelumaksu;-12,50;
25.10.2023;Hoitovastike 100036;210,00;100036
14.01.2023;Hoitovastike 100036;210,00;100036
23.02.2023;Helen Oy Sahko;-321,62;
30.10.2023;S-Rauta Maalia ja tarvikkeita;-77,06;
06.04.2023;Hoitovastike 100036;210,00;100036
11.03.2023;Hoitovastike 100036;210,00;100036
15.11.2023;Hoitovastike 100036;210,00;100036
23.12.2023;FORTUM OYJ SAHKOLASKU;-158,11;
26.06.2023;DNA Oyj Laajakaista;-120,00;
14.07.2023;Verohallinto Kiinteistovero;-1345,60;
24.06.2023;Kone Hissihuolto;-282,53;
19.05.2023;Hoitovastike 100036;210,00;100036
06.05.2023;Hoitovastike 100036;210,00;100036
27.04.2023;Hoitovastike 100049;150,00;100049
20.06.2023;Hoitovastike 100036;210,00;100036
14.12.2023;Hoitovastike 100036;210,00;100036
03.11.2023;Hoitovastike 100036;210,00;100036
18.10.2023;S-Rauta Maalia ja tarvikkeita;-57,18;
03.07.2023;Hoitovastike 100052;175,00;100052
22.06.2023;Hoitovastike 100023;180,00;100023
20.08.2023;Verohallinto Kiinteistovero;-1851,93;
24.05.2023;Hoitovastike 100023;180,00;100023
17.11.2023;Kone Hissihuolto;-312,47;
09.02.2023;Hoitovastike 100010;250,00;100010
17.08.2023;Hoitovastike 100049;150,00;100049
20.11.2023;Hoitovastike 100036;210,00;100036
01.07.2023;Hoitovastike 100010;250,00;100010
25.05.2023;Helen Oy Sahko;-454,52;
07.09.2023;K-Rauta rautakauppa;-111,93;
22.06.2023;Hoitovastike 100052;175,00;100052
21.09.2023;Pääkirja Taloushallinto;-434,30;
26.08.2023;DNA Oyj Laajakaista;-120,00;
09.06.2023;HSY VESI JA VIEMARI;-173,57;
26.07.2023;Pääkirja Taloushallinto;-487,81;
12.07.2023;Hoitovastike 100052;175,00;100052
27.05.2023;Hoitovastike 100036;210,00;100036
26.04.2023;Hoitovastike 100023;180,00;100023
27.06.2023;Verohallinto Kiinteistovero;-2423,33;
04.10.2023;Kone Hissihuolto;-293,21;
20.10.2023;Hoitovastike 100049;150,00;100049
07.07.2023;DNA Oyj Laajakaista;-120,00;
05.09.2023;Hoitovastike 100023;180,00;100023
21.08.2023;Hoitovastike 100052;175,00;100052
19.02.2023;Hoitovastike 100052;175,00;100052
22.08.2023;Pääkirja Taloushallinto;-410,94;
20.09.2023;Hoitovastike 100010;250,00;100010
03.04.2023;Hoitovastike 100010;250,00;100010
08.02.2023;Hoitovastike 100036;210,00;100036
21.03.2023;S-Rauta Maalia ja tarvikkeita;-16,89;
13.07.2023;Hoitovastike 100036;210,00;100036
29.05.2023;Helen Oy Sahko;-343,70;
05.05.2023;Kone Hissihuolto;-328,57;
10.03.2023;S-Rauta Maalia ja tarvikkeita;-39,84;
12.02.2023;Verohallinto Kiinteistovero;-1059,80;
24.08.2023;Hoitovastike 100010;250,00;100010
09.04.2023;Isannointitoimisto Paakirja Oy;-850,00;
05.08.2023;Pankin Palvelumaksu;-12,50;
12.06.2023;Hoitovastike 100036;210,00;100036
01.03.2023;Hoitovastike 100049;150,00;100049
11.10.2023;Hoitovastike 100023;180,00;100023
20.03.2023;HSY VESI JA VIEMARI;-220,06;
07.02.2023;Hoitovastike 100010;250,00;100010
25.10.2023;Pankin Palvelumaksu;-12,50;
08.02.2023;DNA Oyj Laajakaista;-120,00;
01.08.2023;Pääkirja Taloushallinto;-395,88;
29.10.2023;Hoitovastike 100010;250,00;100010
31.10.2023;Hoitovastike 100010;250,00;100010
23.01.2023;FORTUM OYJ SAHKOLASKU;-485,73;
15.11.2023;Hoitovastike 100036;210,00;100036
21.03.2023;Hoitovastike 100010;250,00;100010
30.06.2023;Hoitovastike 100052;175,00;100052
24.07.2023;Hoitovastike 100036;210,00;100036
10.06.2023;Hoitovastike 100052;175,00;100052
17.04.2023;Hoitovastike 100052;175,00;100052
12.02.2023;LASSILA & TIKANOJA SIIVOUS OY;-258,87;
22.02.2023;Hoitovastike 100010;250,00;100010
17.01.2023;Helen Oy Sahko;-491,00;
06.11.2023;Hoitovastike 100023;180,00;100023
02.01.2023;Hoitovastike 100023;180,00;100023
20.06.2023;LASSILA & TIKANOJA SIIVOUS OY;-263,73;
16.10.2023;HSY VESI JA VIEMARI;-276,99;
19.02.2023;Isannointitoimisto Paakirja Oy;-850,00;
16.03.2023;S-Rauta Maalia ja tarvikkeita;-92,63;
09.12.2023;Hoitovastike 100023;180,00;100023
27.09.2023;HSY VESI JA VIEMARI;-130,68;
25.08.2023;Hoitovastike 100052;175,00;100052
04.01.2023;LASSILA & TIKANOJA SIIVOUS OY;-311,59;
27.06.2023;Hoitovastike 100049;150,00;100049
22.07.2023;Helen Oy Sahko;-103,75;
29.04.2023;FORTUM OYJ SAHKOLASKU;-594,56;
22.08.2023;DNA Oyj Laajakaista;-120,00;
11.03.2023;Hoitovastike 100049;150,00;100049
18.11.2023;Isannointitoimisto Paakirja Oy;-850,00;
22.08.2023;Hoitovastike 100023;180,00;100023
08.03.2023;Hoitovastike 100023;180,00;100023
04.12.2023;Hoitovastike 100023;180,00;100023
13.06.2023;Hoitovastike 100023;180,00;100023
22.01.2023;K-Rauta rautakauppa;-150,89;
22.11.2023;Hoitovastike 100052;175,00;100052
07.03.2023;Isannointitoimisto Paakirja Oy;-850,00;
01.01.2023;Hoitovastike 100010;250,00;100010
18.09.2023;FORTUM OYJ SAHKOLASKU;-247,52;
14.06.2023;Hoitovastike 100023;180,00;100023
21.02.2023;Hoitovastike 100010;250,00;100010
03.06.2023;Hoitovastike 100052;175,00;100052
23.06.2023;Hoitovastike 100010;250,00;100010
21.07.2023;Hoitovastike 100036;210,00;100036
12.10.2023;FORTUM OYJ SAHKOLASKU;-553,46;
26.10.2023;Hoitovastike 100010;250,00;100010
01.06.2023;Hoitovastike 100052;175,00;100052
29.06.2023;Hoitovastike 100036;210,00;100036
22.07.2023;K-Rauta rautakauppa;-173,71;
01.05.2023;Pääkirja Taloushallinto;-394,36;
04.06.2023;FORTUM OYJ SAHKOLASKU;-427,61;
05.07.2023;Hoitovastike 100052;175,00;100052
20.09.2023;Hoitovastike 100010;250,00;100010
23.06.2023;Hoitovastike 100052;175,00;100052
29.03.2023;LASSILA & TIKANOJA SIIVOUS OY;-391,90;
01.12.2023;Hoitovastike 100052;175,00;100052
07.06.2023;LASSILA & TIKANOJA SIIVOUS OY;-333,89;
21.11.2023;Hoitovastike 100052;175,00;100052
15.02.2023;Hoitovastike 100023;180,00;100023
12.06.2023;Hoitovastike 100049;150,00;100049
11.03.2023;Hoitovastike 100023;180,00;100023
21.09.2023;Hoitovastike 100052;175,00;100052
11.07.2023;Hoitovastike 100010;250,00;100010
22.09.2023;Hoitovastike 100023;180,00;100023
24.03.2023;Hoitovastike 100036;210,00;100036
01.10.2023;S-Rauta Maalia ja tarvikkeita;-17,93;
05.02.2023;Helen Oy Sahko;-274,42;
24.08.2023;Hoitovastike 100052;175,00;100052
09.02.2023;S-Rauta Maalia ja tarvikkeita;-22,20;
30.10.2023;Hoitovastike 100036;210,00;100036
03.11.2023;Hoitovastike 100052;175,00;100052
16.11.2023;Hoitovastike 100036;210,00;100036
09.07.2023;Isannointitoimisto Paakirja Oy;-850,00;
11.05.2023;Hoitovastike 100052;175,00;100052
20.09.2023;Hoitovastike 100010;250,00;100010
14.06.2023;Pankin Palvelumaksu;-12,50;
28.08.2023;S-Rauta Maalia ja tarvikkeita;-99,76;
18.07.2023;LASSILA & TIKANOJA SIIVOUS OY;-373,59;
27.11.2023;DNA Oyj Laajakaista;-120,00;
13.08.2023;Hoitovastike 100023;180,00;100023
14.11.2023;Hoitovastike 100052;175,00;100052
30.12.2023;Hoitovastike 100010;250,00;100010
22.05.2023;Hoitovastike 100023;180,00;100023
11.12.2023;Hoitovastike 100036;210,00;100036
18.07.2023;Hoitovastike 100023;180,00;100023
31.01.2023;Hoitovastike 100023;180,00;100023
07.09.2023;HSY VESI JA VIEMARI;-267,55;
23.02.2023;Hoitovastike 100049;150,00;100049
31.12.2023;Hoitovastike 100036;210,00;100036
06.05.2023;Pääkirja Taloushallinto;-333,32;
13.03.2023;Hoitovastike 100036;210,00;100036
07.08.2023;Hoitovastike 100023;180,00;100023
11.07.2023;Hoitovastike 100049;150,00;100049
06.11.2023;Hoitovastike 100010;250,00;100010
22.04.2023;Hoitovastike 100010;250,00;100010
20.09.2023;Hoitovastike 100049;150,00;100049
16.09.2023;Hoitovastike 100023;180,00;100023
11.04.2023;Hoitovastike 100036;210,00;100036
30.10.2023;Hoitovastike 100036;210,00;100036
09.06.2023;Hoitovastike 100010;250,00;100010
13.04.2023;Verohallinto Kiinteistovero;-2224,34;
12.06.2023;Hoitovastike 100023;180,00;100023
16.10.2023;Isannointitoimisto Paakirja Oy;-850,00;
03.05.2023;Hoitovastike 100023;180,00;100023
20.02.2023;FORTUM OYJ SAHKOLASKU;-538,71;
31.01.2023;Pääkirja Taloushallinto;-350,09;
30.12.2023;Hoitovastike 100049;150,00;100049
13.08.2023;Hoitovastike 100049;150,00;100049
01.11.2023;Hoitovastike 100010;250,00;100010
01.04.2023;Hoitovastike 100010;250,00;100010
09.09.2023;Hoitovastike 100052;175,00;100052
31.10.2023;Hoitovastike 100052;175,00;100052
05.11.2023;Hoitovastike 100036;210,00;100036
09.10.2023;Hoitovastike 100023;180,00;100023
21.04.2023;Hoitovastike 100049;150,00;100049
03.11.2023;Hoitovastike 100052;175,00;100052
29.03.2023;Helen Oy Sahko;-170,71;
